iris_id,NOM_IRIS
060881304,Saint-Sylvestre
060881503,Jeanne d'Arc-Fuon-Cauda
060881303,Gorbella
060881505,Michelet
060881302,Saint-Barthelemy
060880301,Republique
060881101,Puget
060881804,Clement Roassal
060880504,Vauban
060880103,Vieux Nice-Visitation
060881506,Borriglione-Saint Lambert
060881801,Gare Nice-Ville
060881803,Trachel
060881504,Michel Ange
060880604,Pasteur-Voie Romaine
060882202,Notre-Dame
060881201,Nice-Nord-Saqui
060880502,Saint-Jean d'Angely
060880701,Route de Turin
060880505,Saint-Roch-Ricolfi
060880102,Vieux Nice-Sainte Reparate
060880507,Roquebilliere
060882201,LIBERTI-ALBERT 1er
060880503,Saint-Roch-Jean Xxiii
060880302,Pierre Sola
060881805,Garnier-Gare de Provence
060881701,Promenade du Paillon
060880201,Garibaldi
060882203,Jean Medecin
060881502,Thiole
060880506,Saint-Charles
060881501,Marceau
060880501,Diables Bleus
060881103,Le Ray-Gravier-Dunant
060881202,Comte de Falicon
