iris_id,DEPCOM,NOM_COM,IRIS,NOM_IRIS,TYP_IRIS,supkm2,denskm2,pop_2016.x,Agglo,revenus,bpe_index,evol_15_24,X15_24_2016,X15_24_2017,TC_2015,TC_2016.x,TC_2017,cadr_2015,cadr_2016,cadr_2017,cdi_2015,cdi_2016,cdi_2017,CL,SC,t_actifs_2006.x,t_chom_2006.x,empl_2006.x,ouvrier_2006.x,TP_2006.x,Int_2006.x,app_stage_2006.x,cdd_2006.x,rev_2006.x,HLM_2006.x,no_transp_2006.x,walk_2006.x,moto_2006.x,voit_2006.x,TC_2006.x,HH_2006.x,HH_moins_2ans_2006.x,HH_2_4ans_2006.x,HH_5_9ans_2006.x,HH_plus_10ans_2006.x,HH_with_park_2006.x,HH_with_voit_2006.x,HH_1voit_2006.x,HH_2voit_2006.x,pop_2006.x,tx_chom_2006,tx_empl_2006,tx_ouvr_2006,tx_TP_2006,tx_empl_prec_2006,tx_HLM_2006,tx_no_transp_2006,tx_walk_2006,tx_moto_2006,tx_voit_2006,tx_TC_2006,tx_HH_moins2ans_2006,tx_HH_2_4ans_2006,tx_HH_5_9ans_2006,tx_HH_plus10ans_2006,tx_HH_with_park_2006,tx_HH_with_voit_2006,tx_HH_1voit_2006,tx_HH_2voit_2006,t_actifs_2016.x,t_chom_2016.x,empl_2016.x,ouvrier_2016.x,TP_2016.x,Int_2016.x,app_stage_2016.x,CDD_2016.x,rev_2016.x,HLM_2016.x,no_transp_2016.x,walk_2016.x,moto_2016.x,voit_2016.x,TC_2016.y,HH_2016.x,HH_moins_2ans_2016.x,HH_2_4ans_2016.x,HH_5_9ans_2016.x,HH_plus_10ans_2016.x,HH_with_park_2016.x,HH_with_voit_2016.x,HH_1voit_2016.x,HH_2voit_2016.x,pop_2016.y,tx_chom_2016,tx_empl_2016,tx_ouvr_2016,tx_TP_2016,tx_empl_prec_2016,tx_HLM_2016,tx_no_transp_2016,tx_walk_2016,tx_moto_2016,tx_voit_2016,tx_TC_2016,tx_HH_moins2ans_2016,tx_HH_2_4ans_2016,tx_HH_5_9ans_2016,tx_HH_plus10ans_2016,tx_HH_with_park_2016,tx_HH_with_voit_2016,tx_HH_1voit_2016,tx_HH_2voit_2016,t_actifs_2006.y,t_chom_2006.y,empl_2006.y,ouvrier_2006.y,TP_2006.y,Int_2006.y,app_stage_2006.y,cdd_2006.y,rev_2006.y,HLM_2006.y,no_transp_2006.y,walk_2006.y,moto_2006.y,voit_2006.y,TC_2006.y,HH_2006.y,HH_moins_2ans_2006.y,HH_2_4ans_2006.y,HH_5_9ans_2006.y,HH_plus_10ans_2006.y,HH_with_park_2006.y,HH_with_voit_2006.y,HH_1voit_2006.y,HH_2voit_2006.y,pop_2006.y,t_actifs_2016.y,t_chom_2016.y,empl_2016.y,ouvrier_2016.y,TP_2016.y,Int_2016.y,app_stage_2016.y,CDD_2016.y,rev_2016.y,HLM_2016.y,no_transp_2016.y,walk_2016.y,moto_2016.y,voit_2016.y,TC_2016,HH_2016.y,HH_moins_2ans_2016.y,HH_2_4ans_2016.y,HH_5_9ans_2016.y,HH_plus_10ans_2016.y,HH_with_park_2016.y,HH_with_voit_2016.y,HH_1voit_2016.y,HH_2voit_2016.y,pop_2016,TE_pop,TE_actifs,TE_revenus,TE_chom,TE_empl,TE_ouvr,TE_TP,TE_HLM,TE_no_transp,TE_walk,TE_moto,TE_voit,TE_TC,TE_HH_moins2ans,TE_HH_2_4ans,TE_HH_5_9ans,TE_HH_plus10ans,TE_HH_with_park,TE_HH_with_voit,TE_HH_1voit,TE_HH_2voit,TE_empl_prec,T_pop_0_2_2006,T_pop_3_5_2006,T_pop_6_10_2006,T_pop_11_17_2006,T_pop_18_24_2006,T_pop_25_39_2006,T_pop_40_54_2006,T_pop_55_64_2006,T_pop_65_79_2006,T_pop_80plus_2006,T_pop_0_2_2016,T_pop_3_5_2016,T_pop_6_10_2016,T_pop_11_17_2016,T_pop_18_24_2016,T_pop_25_39_2016,T_pop_40_54_2016,T_pop_55_64_2016,T_pop_65_79_2016,T_pop_80plus_2016,DNB_2006,BEP_2006,BAC_2006,Etude_sup_2006,DNB_2016,BEP_2016,BAC_2016,Etude_sup_2016,TE_DNB,TE_BEP,TE_BAC,TE_Etud_sup,TE_pop_0_2,TE_pop_3_5,TE_pop_6_10,TE_pop_11_17,TE_pop_18_24,TE_pop_25_39,TE_pop_40_54,TE_pop_55_64,TE_pop_65_79,TE_pop_80plus,ds_btp,ipondi_crs
061230107,6123,Saint-Laurent-du-Var,107,Centre Ville,H,0.476,"5,547,108",2640,NCA,18804,4,"-4,853","-3,556","1,913","7,537","-6,274","-3,891",-7.24,4,"-7,487","-7,147","-5,239","-7,291",1,0,"13,162,279","1,283,772","3,785,434","247,452","1,406,833","176,915","150,435","779,418",16013,"709,032","434,798","1,331,951","1,014,948","7,792,204","1,415,654","13,105,873","2,546,183","3,215,447","2,056,173","5,288,071","8,040,042","10,240,013","7,921,654","2,318,359","27,163,536","97,534","287,597","188,001","106,884","84,086","26,102","33,034","101,195","7,711","59,201","107,554","193,445","244,293","156,217","40,176","61,084","777,982","601,845","176,137","12,703,881","1,843,412","4,124,292","2,230,365","1,578,393","122,015","150,435","963,597",18804,"140,539","298,542","999,909",102.18,"7,198,358","145,661","12,723,404","1,872,251","2,778,632","1,895,117","6,177,405","8,413,759","10,095,528","7,357,225","2,738,302","26,404,236","145,106","324,648","175,566","124,245","97,297",0.5323,2.35,"78,709","80,432","566,627","114,659","147,376","218,723","149,176","486,261","662,298","794,681","579,132","215,548","13,162,279","1,283,772","3,785,434","247,452","1,406,833","176,915","150,435","779,418",16013,"709,032","434,798","1,331,951","1,014,948","7,792,204","1,415,654","13,105,873","2,546,183","3,215,447","2,056,173","5,288,071","8,040,042","10,240,013","7,921,654","2,318,359","27,163,536","12,703,881","1,843,412","4,124,292","2,230,365","1,578,393","122,015","150,435","963,597",18804,"140,539","298,542","999,909",102.18,"7,198,358","145,661","12,723,404","1,872,251","2,778,632","1,895,117","6,177,405","8,413,759","10,095,528","7,357,225","2,738,302","26,404,236","-27,953","-34,827","174,296","435,935","89,516","-98,668","121,947","-801,787","-313,376","-24,929",0.6752,"-7,621","28,931","-264,683","-135,849","-78,328","168,177","46,482","-1,411","-71,251","181,138","122,604,655","172,903","1,216,303","790,084","1,498,884","1,586,355","815,096","3,577,975","3,392,879","3,789,649","1,431,416","950,735","104,918","1,713,553","2,081,406","2,054,966","5,245,795","5,466,982","2,104,717","3,576,141","2,160,761","8,598,778","4,060,626","2,898,145","5,449,442","583,587","4,898,956","3,121,783","5,614,286","-321,314","206,454","77,166","3,025","-450,134","-137,403","1,168,823","388,637",29.54,"-35,642","527,954","-379,667","-5,634","509,527",0,"72,495"
061230103,6123,Saint-Laurent-du-Var,103,Les Pomarels,H,0.438,"4,457,763",1953,NCA,22378,3,"-15,728","3,537","5,031","-21,044",-0.108,"23,293",13.52,-9,-1.23,"-10,513","-7,233","-3,279",2,0,"11,600,322","891,192","3,783,909","1,808,569","1,655,131","222,527","29,631","943,131",19319,"590,386","187,372","1,195,314","94,639","7,085,596","1,418,922","11,279,015","165,391","2,842,312","225,752","4,525,273","811,761","9,092,865","6,066,483","3,026,383","24,843,714","76,825","32,619","155,907","14,268","103,039","23,764","16,152","103,041","81,583","61,081","122,317","142,574","24,502","194,608","390,099","699,775","783,846","522,958","260,888","8,404,048","1,036,844","2,801,153","1,230,962","1,057,936","58,269","29,631","536,816",22378,0,"300,022","871,982","796,147","4,902,259","618,377","10,265,116","140,578","2,094,365","1,275,003","5,489,968","7,785,834","8,013,465","5,580,802","2,432,663","19,525,001","123,374","33,331","146,473","125,884","74,335",0,3.57,"103,757","94,734","583,321","73,581","167,274","249,209","151,713","653,253","926,439","953,524","664,061","289,463","11,600,322","891,192","3,783,909","1,808,569","1,655,131","222,527","29,631","943,131",19319,"590,386","187,372","1,195,314","94,639","7,085,596","1,418,922","11,279,015","165,391","2,842,312","225,752","4,525,273","811,761","9,092,865","6,066,483","3,026,383","24,843,714","8,404,048","1,036,844","2,801,153","1,230,962","1,057,936","58,269","29,631","536,816",22378,0,"300,022","871,982","796,147","4,902,259","618,377","10,265,116","140,578","2,094,365","1,275,003","5,489,968","7,785,834","8,013,465","5,580,802","2,432,663","19,525,001","-214,087","-275,533","158,342","163,435","-25,972","-319,372","-360,814",-100,"60,121",-27.05,"-158,754","-308,137","-564,193","-150,026","-263,147","-435,219","213,179","-40,871","-118,708","-8,006","-196,181","61,471,608","808,914","680,486","1,777,672","2,331,626","1,617,434","5,103,271","453,315","2,525,137","3,939,976","1,526,049","387,718","545,491","567,805","1,232,215","1,161,811","3,322,372","3,414,475","2,348,018","4,007,617","2,537,477","6,912,734","4,059,577","3,120,944","4,264,537","5,731,838","3,305,989","2,536,848","4,508,117","-170,829","-185,632","-187,154","57,118","-520,693","-19,838","-680,591","-471,521","-281,695","-348,972","-246,777","-70,142","17,168","662,776","1,493,151","30,723"
061230102,6123,Saint-Laurent-du-Var,102,Les Paluds,H,0.49,"4,130,646",2024,NCA,22418,2,8.21,"3,329",10.41,"5,223","10,275","10,064","-3,189",0,"1,035","2,498","9,619",0.796,2,0,"9,689,006","807,793","3,005,904","1,353,177","1,187,437","68,182","29,319","656,152",17595,0,"11,755","695,778","486,122","7,109,097","484,069","12,361,114","1,727,752","269,561","3,050,857","4,886,895","955,334","10,118,052","7,457,563","2,660,489","21,941,806","83,372","310,239","139,661","122,555","77,784",0,"12,132","71,811","50,173","733,728","49,961","178,321","278,213","314,878","504,375","985,998","1,044,282","769,693","274,588","8,568,891","1,300,698","2,820,729","914,544","1,111,459","8,404","29,319","310,757",22418,0,"278,142","421,512","447,397","5,422,006","891,893","12,151,973","1,735,868","2,350,666","2,388,743","5,676,696","9,870,312","9,997,895","7,572,157","2,425,737","20,240,163","151,793","329,182","106,728","129,709","49,495",0,"32,459","49,191","52,212","632,755","104,085","202,578","274,326","278,769","662,477","1,151,877","1,166,766","88,368","283,086","9,689,006","807,793","3,005,904","1,353,177","1,187,437","68,182","29,319","656,152",17595,0,"11,755","695,778","486,122","7,109,097","484,069","12,361,114","1,727,752","269,561","3,050,857","4,886,895","955,334","10,118,052","7,457,563","2,660,489","21,941,806","8,568,891","1,300,698","2,820,729","914,544","1,111,459","8,404","29,319","310,757",22418,0,"278,142","421,512","447,397","5,422,006","891,893","12,151,973","1,735,868","2,350,666","2,388,743","5,676,696","9,870,312","9,997,895","7,572,157","2,425,737","20,240,163","-77,553","-115,607","274,112","610,188","-61,604","-32,415","-63,985",0,"1,366,164","-394,187","-79,661","-237,314","842,491",0.4697,"-127,965","-217,026","161,616","33,179","-11,876","15,366","-88,236","41,411,492","397,335","373,259","57,114","1,000,265","950,689","3,928,046","4,022,438","3,825,568","531,279","1,560,275","279,214","306,218","525,859","612,471","1,000,564","336,863","3,063,624","2,982,057","5,765,611","2,335,915","7,574,771","3,821,002","2,920,715","4,438,913","5,610,779","3,570,014","330,935","547,368","-259,281","-65,686","133,062","233,113","-297,282","-179,612","-79,282","-387,691","52,462","-142,416","-238,366","-220,493","85,232","497,118","1,057,143","36,487"
061230101,6123,Saint-Laurent-du-Var,101,Le Lac,A,0.323,"70,408",23,NCA,21030,4,0,0,0,0,0,0,0,0,"100,584",0,1,"100,584",1,0,"367,068","53,665","126,911","83,246","190,577",0,0,0,0,0,0,"173,246",0,"283,822",1,"400,314",0,"146,492","73,246","180,577","327,068","253,822","253,822",0,"1,004,556",14.62,"345,743","226,786","519,186",0,0,0,"471,972",0,"773,214","27,243",0,"399,085","199,543","491,943","891,028","691,486","691,486",0,"74,847",0,0,0,0,0,0,0,21030,0,0,0,0,"74,847",0,"152,572",0,0,0,"152,572","74,847","74,847","74,847",0,"227,419",0,0,0,0,0,0,0,0,0,100,0,0,0,0,"2,038,447",100,100,100,0,"367,068","53,665","126,911","83,246","190,577",0,0,0,0,0,0,"173,246",0,"283,822",1,"400,314",0,"146,492","73,246","180,577","327,068","253,822","253,822",0,"1,004,556","74,847",0,0,0,0,0,0,0,21030,0,0,0,0,"74,847",0,"152,572",0,0,0,"152,572","74,847","74,847","74,847",0,"227,419","-773,613","-796,095",0,-100,-100,-100,-100,0,0,-100,0,"-736,289",-100,0,-100,-100,"-155,086","-771,158","-70,512","-70,512",0,0,"53,665",0,3,1,"53,665","239,737","156,911",2,"133,665","306,911",0,0,0,0,0,0,0,"74,847",0,"152,572","470,577","220,157","200,157",2,"152,572",0,0,"74,847","-675,777",-100,-100,"2,742,353",-100,0,-100,-100,-100,-100,-100,"2,742,353",-100,"-50,288",0,0
060883102,6088,Nice,3102,Parc des Sports,H,"2,249","1,477,791",3324,NCA,22994,2,"2,976","7,705","3,479","27,227","13,381","-2,339","-9,645",18,1.99,"5,674","11,893",0.96,2,0,"11,736,822","723,948","3,773,925","1,459,727","1,164,831","141,927","208,065","934,029",20017,"2,069,487","58,234","328,597","941,729","8,387,801","974,129","8,919,362","1,082,792","1,746,692","2,907,541","3,182,337","8,036,632","7,996,068","4,468,313","3,527,755","21,012,664","61,682","321,546","124,372","99,246","109,401","98,488","49,616","27,997","80,237","714,657","82,998","92,256","148,822","247,728","271,141","684,737","681,281","380,709","300,572","18,637,082","1,813,485","5,587,046","2,713,586","2,420,816","162,492","208,065","1,327,384",22994,"6,530,596","30,991","684,071","1,538,518","12,698,527","1,931,997","14,599,522","1,892,578","3,924,008","3,175,154","5,607,782","12,971,384","13,645,178","8,169,733","5,475,445","33,235,525","97,305","299,781","145,601","129,892","91,105","196,494","16,629","36,705","82,551","681,358","103,664","101,549","210,548","170,368","300,894","695,999","732,152","438,359","293,793","11,736,822","723,948","3,773,925","1,459,727","1,164,831","141,927","208,065","934,029",20017,"2,069,487","58,234","328,597","941,729","8,387,801","974,129","8,919,362","1,082,792","1,746,692","2,907,541","3,182,337","8,036,632","7,996,068","4,468,313","3,527,755","21,012,664","18,637,082","1,813,485","5,587,046","2,713,586","2,420,816","162,492","208,065","1,327,384",22994,"6,530,596","30,991","684,071","1,538,518","12,698,527","1,931,997","14,599,522","1,892,578","3,924,008","3,175,154","5,607,782","12,971,384","13,645,178","8,169,733","5,475,445","33,235,525","58,169","587,916","148,724","1,504,992","480,434","858,969","1,078,256","215,566","-46,782","1,081,797","633,717","513,928","983,308","747,868","1,246,537","92,041","762,159","614,032","706,486","828,371","552,105","168,794,051","1,005,046","1,223,314","886,007","1,677,987","1,979,462","5,102,976","5,273,723","1,749,758","143,765","676,741","1,763,503","1,343,014","1,735,319","2,124,192","2,455,614","8,696,911","7,020,083","4,441,842","2,866,711","788,335","3,396,751","3,416,746","3,292,666","4,582,906","5,308,524","4,724,353","4,251,698","10,679,068","562,824","382,705","291,263","1,330,196","75,465","97,849","958,583","265,917","240,546","704,282","331,144","1,538,547","994,025","164,898","280,569","73,926"
060883003,6088,Nice,3003,Saint-Augustin,H,0.148,"19,312,821",2858,NCA,14692,2,"3,858","-5,302","-3,355","17,644","2,151","7,567","13,634",-10,"6,269","12,243","3,122","4,574",3,0,"13,530,487","190,495","5,457,877","4,017,345","187,481","381,296","179,207","981,174",13282,"359,804","18,202","1,196,594","948,995","6,112,838","3,145,453","13,971,295","2,191,915","2,897,135","301,938","5,862,865","6,696,816","9,303,502","7,857,904","1,445,598","29,922,578","140,789","403,376","296,911","138,562","113,941","12,025","13,453","88,437","70,138","451,783","232,472","161,998","214,119","223,154","433,308","494,943","687,595","580,755","10,684","11,510,017","1,921,566","4,505,339","3,169,836","1,770,556","178,594","179,207","1,185,624",14692,"3,673,519","527,372","75,566","942,872","4,633,563","2,817,558","14,365,091","2,255,375","2,462,671","2,734,637","6,912,408","651,215","8,926,099","7,908,259","101,784","28,582,975","166,947","391,428","275,398","153,827","134,094","128,521","45,819","65,652","81,917","402,568","244,792","195,949","213,959","237,588","600,556","565,781","775,507","687,076","88,431","13,530,487","190,495","5,457,877","4,017,345","187,481","381,296","179,207","981,174",13282,"359,804","18,202","1,196,594","948,995","6,112,838","3,145,453","13,971,295","2,191,915","2,897,135","301,938","5,862,865","6,696,816","9,303,502","7,857,904","1,445,598","29,922,578","11,510,017","1,921,566","4,505,339","3,169,836","1,770,556","178,594","179,207","1,185,624",14692,"3,673,519","527,372","75,566","942,872","4,633,563","2,817,558","14,365,091","2,255,375","2,462,671","2,734,637","6,912,408","651,215","8,926,099","7,908,259","101,784","28,582,975","-44,769","-149,327","106,159",0.8722,"-174,525","-210,962","-55,608","9,209,774","1,897,326","-368,491",-0.6452,"-241,995","-104,244","28,952","-149,964","-94,305","179,015","-27,575","-40,566",0.6408,"-295,904","153,342,471","1,090,344","1,156,281","1,775,651","2,375,597","3,191,992","6,975,208","532,653","2,964,202","3,466,826","1,599,948","1,009,658","925,896","1,221,513","1,970,921","3,871,951","5,491,056","4,397,139","3,079,593","4,026,807","2,588,441","9,925,541","4,425,457","3,450,415","330,179","9,164,513","4,087,319","3,103,007","386,487","-76,674","-76,407","-100,686","170,538",-7.4,"-199,247","-312,076","-170,347","21,302","-212,775","-174,483","38,928","161,526","617,829","932,432","14,636"
060883002,6088,Nice,3002,Arenas-Cassin,H,0.183,"15,385,202",2815,NCA,13626,3,"-5,902","-1,157","-2,503","-12,678","7,143","9,109","-9,591",4,"5,126","-3,815","-3,751",0.507,3,0,"9,855,659","1,199,508",393.24,"2,147,674","1,426,315","184,575","31,358","650,389",13109,"821,517","153,426","1,030,445","536,703","5,153,718","181,255","11,611,918","1,647,022","2,213,526","2,168,289","5,583,082","5,654,394","8,114,298","6,869,105","1,245,193","23,880,981","121,708","398,999","217,913","14,472","87,901",3.44,"15,567","104,554","54,456","52,292","18,391","167,114","224,594","220,004","566,485","573,721","823,314","696,971","126,343","11,154,078","2,323,315","4,003,325","2,958,861","1,678,341","182,821","31,358","773,512",13626,"1,311,228","153,805","55,928","513,752","5,368,608","2,440,278","11,329,588","1,246,835","2,355,061","2,201,904","552,579","5,182,213","7,880,937","5,866,377","201,456","2,815,492","208,293","358,911","265,272","150,469","8,855","46,572","13,789","50,141","4,606","481,313","218,779","111,783","211,139","197,408","495,405","464,602","706,552","52,594","180,612","9,855,659","1,199,508",393.24,"2,147,674","1,426,315","184,575","31,358","650,389",13109,"821,517","153,426","1,030,445","536,703","5,153,718","181,255","11,611,918","1,647,022","2,213,526","2,168,289","5,583,082","5,654,394","8,114,298","6,869,105","1,245,193","23,880,981","11,154,078","2,323,315","4,003,325","2,958,861","1,678,341","182,821","31,358","773,512",13626,"1,311,228","153,805","55,928","513,752","5,368,608","2,440,278","11,329,588","1,246,835","2,355,061","2,201,904","552,579","5,182,213","7,880,937","5,866,377","201,456","2,815,492","178,968","131,744","39,439","936,889","18,036","377,705","176,697","596,106",0.2473,"-457,245","-42,763","41,696","346,323","-242,976","63,941","15,503","-10,262","-83,507","-28,759","-145,977","617,869","97,769,142","632,458","672,167","1,154,679","1,859,237","2,826,691","3,776,611","4,480,015","2,764,216","3,658,384","2,056,522","1,687,194","1,815,428","1,818,554","2,492,419","2,420,209","6,105,646","4,262,744","2,700,969","3,061,958","1,789,799","8,322,962","3,661,349","2,748,907","2,784,086","7,369,691","3,701,559","2,705,348","4,430,541","-114,535","10,982","-15,846","591,381","1,667,677","1,700,861","574,944","34,056","-143,802","616,699","-48,498","-22,881","-16,303","-129,696","1,147,541","24,642"
060883001,6088,Nice,3001,Arenas-Aeroport,A,"4,303","127,883",550,NCA,19533,3,"9,117","-4,814","-2,798","-12,905","65,293","-8,828","-20,371",-35,"32,125","-14,059","-9,109","10,869",1,0,"2,502,884","156,569","122,158","180,285","331,516","35,811","117,436","329,273",13804,0,"321,805","804,526","17,906","877,873","240,456","2,422,996","554,892","646,885","446,416","774,803","1,030,839","1,725,421","1,248,196","477,225","4,853,026","62,555","488,069","72,031","132,454","192,786",0,"128,574","32,144",0.7154,"350,745","96,072","221,701","258,456","178,361","309,564","411,861","689,373","498,703","19,067","2,873,783","329,123","1,299,452","620,865","229,303",0,"117,436","465,161",19533,0,"328,657","463,536","2,566","1,057,597","809,264","2,440,712","441,376","831,885","428,998","738,453","1,142,377","1,756,296","1,446,961","309,335",550.28,"114,526","452,175","216,044","79,791","202,729",0,"114,364","161,298",0.8929,"368,016","281,602","153,587","289,474","14,928","256,962","397,517","611,144","503,504","10,764","2,502,884","156,569","122,158","180,285","331,516","35,811","117,436","329,273",13804,0,"321,805","804,526","17,906","877,873","240,456","2,422,996","554,892","646,885","446,416","774,803","1,030,839","1,725,421","1,248,196","477,225","4,853,026","2,873,783","329,123","1,299,452","620,865","229,303",0,"117,436","465,161",19533,0,"328,657","463,536","2,566","1,057,597","809,264","2,440,712","441,376","831,885","428,998","738,453","1,142,377","1,756,296","1,446,961","309,335",550.28,"13,389","148,189","415,025","1,102,099","63,746","2,443,788","-30,832",0,"21,292","-423,839","43,309","204,727","2,365,541","-204,573","285,986","-39,018","-46,915",10.82,"17,894","159,242","-351,805","57,259,768","194,253","54,764","217,799","378,966","677,465",106.44,"1,044,428","383,125","414,437","423,389","352,962","247,238","21,285","402,929","705,052","1,357,237","939,347","671,939","447,684","165,562","1,316,293","731,882","864,833","675,233","1,257,546","536,245","1,115,705","946,978","-44,631","-267,307","290,082","402,446","817,021","3,514,625","-22,721","63,233","40,722","275,119","-100,612","753,838","80,222","-60,896",0,"8,993"
060882906,6088,Nice,2906,Plateaux Fleuris,H,0.214,13457.66,2880,NCA,22664,0,-0.435,"-7,862","-9,284","2,094","-6,645","14,043","-2,859",-1,"1,428",0.218,-1.9,"-5,273",2,0,"15,399,803","1,247,485","4,572,224","2,513,171","1,916,197","174,703","67,944","957,008",19308,"1,030,069","170,023","749,817","1,080,455","10,434,501","1,780,236","14,156,409","1,592,943","2,943,863","2,379,846","7,239,757","10,425,415","11,802,981","7,811,192","3,991,789","2,904,519","81,007","296,901","163,195","12,443","77,901","35,464","11,041","4,869","7,016","677,574","115,601","103,439","191,162","154,537","47,012","676,984","766,437","507,227","25,921","15,052,991","1,769,305","5,069,188","2,591,185","1,830,996","135,986","67,944","935,906",22664,"897,387","202,605","679,541","1,228,033","10,088,056","1,502,359","14,963,659","2,032,546","3,678,017","2,600,582","6,652,514","1,028,185","12,710,603","8,501,544","4,209,059","28,799,393","117,538","336,756","172,138","121,637","75,722","3,116","13,459","45,143","81,581","67,017","99,805","135,026","244,338","172,762","44,194","683,044","844,391","564,774","279,616","15,399,803","1,247,485","4,572,224","2,513,171","1,916,197","174,703","67,944","957,008",19308,"1,030,069","170,023","749,817","1,080,455","10,434,501","1,780,236","14,156,409","1,592,943","2,943,863","2,379,846","7,239,757","10,425,415","11,802,981","7,811,192","3,991,789","2,904,519","15,052,991","1,769,305","5,069,188","2,591,185","1,830,996","135,986","67,944","935,906",22664,"897,387","202,605","679,541","1,228,033","10,088,056","1,502,359","14,963,659","2,032,546","3,678,017","2,600,582","6,652,514","1,028,185","12,710,603","8,501,544","4,209,059","28,799,393",-0.8463,"-22,521","173,814","418,298","108,692","31,042","-44,463","-128,809","191,635","-93,724","136,589","-33,202","-15,609","275,969","249,384","92,753","-81,114","-13,771","76,898","8,838","54,429","112,983,638","1,157,214","689,675","1,071,755","1,781,517","2,748,786","6,335,059","6,100,969","3,807,283","3,431,326","1,921,606","1,026,249","1,290,723","1,445,155","141,859","2,372,995","7,385,563","5,206,965","297,587","3,922,773","175,451","7,724,692","5,000,944","3,933,002","6,081,585","481,158","522,018","4,201,143","7,629,471","-377,117","43,839","68,177","25,452","-113,173","871,493",34.84,"-203,718","-136,712","165,824","-146,535","-218,374","143,224","-86,957","766,355","91,247"
060882905,6088,Nice,2905,La Victorine-Grinda,H,0.223,"9,071,386",2023,NCA,19996,0,"-5,981","9,113",-0.666,"16,654","7,478",-0.379,"36,963",2,-14.56,"10,256","1,903","5,937",1,0,"9,033,169","1,357,467","3,334,596","1,970,114","126,662","83,516","119,804","917,587",16317,"3,921,193","157,888","622,485","582,865","5,163,748","1,180,609","9,267,843","748,449","1,501,905","204,593","497,156","6,518,908","7,713,508","5,645,559","2,067,948","21,124,174","150,276","36,915","218,098","140,219","124,088","185,626","17,479","68,911","64,525","571,643","130,697","82,856","166,266","226,491","550,367","721,664","853,909","624,981","228,928","9,094,428","1,068,547","3,601,605","155,143","1,456,199","150,157","119,804","478,316",19996,"2,704,865","29,387","654,518","800,232","4,968,828","1,720,859","9,260,658","446,553","1,550,991","1,598,546","566,457","7,321,847","7,620,301","5,627,079","1,993,222","2,022,919","117,495","396,023","170,591","16,012","82,279","133,711",0.3231,"71,969","87,991","54,636","189,221","49,102","170,543","175,772","622,862","805,092","837,909","618,739","21,917","9,033,169","1,357,467","3,334,596","1,970,114","126,662","83,516","119,804","917,587",16317,"3,921,193","157,888","622,485","582,865","5,163,748","1,180,609","9,267,843","748,449","1,501,905","204,593","497,156","6,518,908","7,713,508","5,645,559","2,067,948","21,124,174","9,094,428","1,068,547","3,601,605","155,143","1,456,199","150,157","119,804","478,316",19996,"2,704,865","29,387","654,518","800,232","4,968,828","1,720,859","9,260,658","446,553","1,550,991","1,598,546","566,457","7,321,847","7,620,301","5,627,079","1,993,222","2,022,919","-42,368",0.6782,"22,547","-212,838","80,072","-212,518","149,674","-310,193","-813,877","5,146","372,929","-37,748","457,603","-403,362","32,682","-218,671","139,395","123,171","-12,084",-0.3274,"-36,135","73,827,708","584,672","639,734","96,174","1,597,265","2,189,432","3,496,095","402,974","280,855","345,962","1,357,325","1,014,255","740,143","82,903","1,217,839","1,537,385","3,685,531","4,014,456","2,326,749","319,005","1,673,753","7,258,549","3,498,795","2,442,641","276,179","4,775,395","4,180,002","2,348,644","4,029,153","-342,101","194,698","-38,482","458,892","734,743","156,953","-13,799","-237,547","-297,816","54,185",-0.3793,"-171,548","-77,919","233,126",739.91,"21,094"
